0,138,237
47,157
47,158
48,157
48,158
69,5
69,6
69,7
70,2
70,3
70,4
70,5
70,6
71,2
71,3
85,182
86,181
88,58
89,180
90,180
91,180
91,181
92,181
111,2
112,2
112,3
112,4
112,5
112,6
112,7
113,3
113,4
113,5
113,6
113,7
113,8
114,7
126,56
126,57
127,58
127,59
133,112
133,113
133,114
133,115
160,13
163,12
166,18
166,19
166,20
166,21
166,22
166,23
166,24
166,25
167,17
167,18
167,19
167,20
167,21
167,22
167,23
167,24
167,25
168,17
168,18
168,19
169,17
169,18
170,14
170,15
170,16
170,17
171,14
171,15
171,16
