r,g,b,10,126,203
9,114
11,111
12,110
13,109
15,108
19,106
19,107
20,106
20,107
21,106
21,107
22,106
22,107
26,107
27,106
27,107
28,106
28,108
29,1
29,106
30,106
30,107
30,108
31,106
31,108
56,1
63,10
65,11
66,96
66,97
67,98
69,95
69,96
69,97
70,12
83,70
84,71
85,71
86,71
86,95
87,94
88,94
89,93
90,92
93,90
96,89
103,88
104,88
105,88
109,89
112,90
117,94
118,94
128,52
129,54
130,55
131,56
131,57
132,58
133,60
134,59
134,60
135,60
136,60
141,60
153,20
154,15
154,16
155,25
155,26
156,27
162,30
165,31
176,73
177,72
181,70
183,11
183,91
183,92
183,93
183,94
